Product,Branch,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,West,18,Male,14,Single,3,4,29562,112
TM195,East,19,Male,15,Single,2,3,31836,75
TM195,West,19,Female,14,Partnered,4,3,30699,66
TM195,West,19,Male,12,Single,3,3,45000,85
TM195,North,20,Male,13,Partnered,4,2,32973,47
TM195,East,20,Female,14,Partnered,3,3,35247,66
TM195,East,21,Female,14,Partnered,3,3,32973,75
TM195,West,21,Male,13,Single,2,3,35247,85
TM195,West,21,Male,15,Single,5,4,32973,141
TM195,South,21,Female,15,Partnered,2,3,35247,85
TM195,South,22,Male,14,Single,3,3,37521,85
TM195,South,22,Female,14,Partnered,3,2,36384,66
TM195,West,22,Female,16,Single,4,3,35247,75
TM195,South,22,Female,14,Single,3,3,36384,75
TM195,West,23,Male,16,Partnered,3,1,35247,47
TM195,North,23,Male,16,Partnered,3,3,38658,75
TM195,East,23,Female,14,Single,2,3,40932,103
TM195,South,23,Male,16,Partnered,4,3,34110,94
TM195,West,23,Female,16,Single,4,3,39795,113
TM195,North,23,Female,15,Partnered,2,2,38658,38
TM195,West,23,Male,14,Single,4,3,34110,113
TM195,South,23,Male,16,Single,4,3,38658,94
TM195,West,24,Female,16,Single,4,3,40932,94
TM195,East,24,Female,16,Partnered,5,5,42069,188
TM195,South,24,Male,14,Single,2,3,44343,113
TM195,East,24,Male,13,Partnered,3,2,45480,47
TM195,North,24,Female,16,Single,4,3,42069,75
TM195,North,25,Female,14,Partnered,3,3,46617,75
TM195,North,25,Male,14,Partnered,2,3,48891,56
TM195,South,25,Female,14,Partnered,2,2,45480,47
TM195,South,25,Female,14,Partnered,3,3,53439,85
TM195,West,25,Male,16,Single,3,4,39795,113
TM195,East,25,Female,16,Partnered,2,2,40932,47
TM195,South,25,Male,16,Single,3,3,40932,85
TM195,West,26,Female,14,Partnered,3,4,43206,113
TM195,North,26,Female,16,Partnered,4,3,44343,113
TM195,North,26,Male,16,Partnered,2,2,52302,47
TM195,North,26,Male,16,Partnered,3,3,53439,85
TM195,South,26,Female,16,Single,3,3,51165,66
TM195,South,26,Male,16,Partnered,4,4,36384,132
TM195,South,26,Male,16,Single,3,3,44343,85
TM195,West,27,Female,14,Partnered,3,2,50028,66
TM195,South,27,Male,16,Single,4,3,45480,85
TM195,West,27,Female,14,Partnered,2,3,54576,56
TM195,North,28,Female,14,Partnered,2,3,45480,56
TM195,South,28,Female,16,Partnered,2,3,46617,66
TM195,West,28,Male,14,Single,3,3,52302,103
TM195,South,28,Female,14,Partnered,3,3,52302,94
TM195,North,28,Male,14,Single,4,3,54576,113
TM195,South,28,Female,16,Partnered,3,3,54576,56
TM195,East,25,Male,18,Partnered,3,3,51165,85
TM195,South,32,Female,14,Partnered,2,2,68220,38
TM195,North,29,Female,16,Partnered,4,3,46617,94
TM195,West,30,Male,14,Partnered,4,4,50028,141
TM195,North,30,Male,14,Single,3,3,46617,85
TM195,South,31,Male,14,Partnered,2,2,54576,47
TM195,North,31,Female,14,Single,2,2,54576,47
TM195,North,32,Female,14,Single,3,4,45480,113
TM195,West,32,Male,14,Partnered,4,3,46617,85
TM195,West,33,Female,16,Single,2,2,52302,38
TM195,North,33,Female,16,Partnered,3,3,55713,85
TM195,East,34,Male,16,Single,4,5,46617,169
TM195,East,34,Female,16,Single,2,2,51165,66
TM195,East,35,Male,16,Partnered,4,3,52302,85
TM195,North,35,Female,16,Partnered,3,3,48891,94
TM195,South,35,Female,18,Single,3,3,60261,85
TM195,West,36,Male,12,Single,4,3,67083,94
TM195,South,37,Female,16,Partnered,3,3,44343,85
TM195,West,38,Male,16,Partnered,3,3,37521,75
TM195,South,38,Female,14,Partnered,2,3,46617,56
TM195,South,38,Male,14,Single,2,3,54576,56
TM195,South,38,Male,16,Partnered,3,3,52302,75
TM195,North,39,Male,16,Partnered,4,4,56850,132
TM195,West,40,Male,16,Partnered,3,3,59124,66
TM195,South,41,Male,16,Partnered,4,3,61398,103
TM195,East,43,Male,16,Partnered,3,3,54576,66
TM195,East,44,Female,16,Single,3,4,53439,75
TM195,West,46,Female,16,Partnered,3,2,57987,47
TM195,East,47,Male,16,Partnered,4,3,60261,94
TM195,West,50,Female,16,Partnered,3,3,56850,66
