Product,Branch,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM798,South,22,Male,14,Single,4,3,57987,106
TM798,South,22,Male,16,Single,2,5,48658,120
TM798,East,22,Male,18,Single,4,5,54781,200
TM798,North,23,Male,16,Single,4,5,48556,140
TM798,North,23,Female,18,Single,5,4,58516,100
TM798,East,23,Male,16,Single,4,5,53536,100
TM798,West,24,Male,16,Single,4,5,48556,100
TM798,West,24,Male,18,Partnered,4,5,61006,80
TM798,North,24,Female,16,Single,5,5,57271,200
TM798,East,24,Male,16,Single,5,5,52291,160
TM798,West,25,Male,16,Partnered,4,5,49801,120
TM798,South,25,Male,16,Partnered,4,4,49801,160
TM798,North,25,Female,18,Partnered,5,5,62251,200
TM798,East,25,Male,18,Partnered,4,3,61006,100
TM798,North,25,Male,18,Partnered,6,4,64741,180
TM798,East,25,Male,18,Partnered,6,5,70966,240
TM798,West,25,Male,20,Partnered,4,5,75946,170
TM798,East,26,Female,21,Single,4,3,74701,100
TM798,East,26,Male,16,Partnered,5,4,69721,180
TM798,East,27,Male,16,Partnered,4,5,64741,160
TM798,North,27,Male,18,Single,4,3,83416,100
TM798,South,27,Male,21,Partnered,4,4,88396,100
TM798,North,28,Female,18,Partnered,6,5,90886,180
TM798,North,28,Male,18,Partnered,7,5,92131,180
TM798,East,28,Male,18,Single,6,5,77191,150
TM798,East,32,Male,18,Single,5,5,88396,180
TM798,West,26,Male,14,Partnered,7,5,52290,300
TM798,West,30,Female,16,Partnered,6,5,85906,280
TM798,East,30,Male,18,Partnered,5,4,90886,160
TM798,South,30,Male,18,Partnered,5,5,103336,150
TM798,South,31,Male,16,Partnered,6,5,99601,260
TM798,West,28,Male,15,Partnered,4,5,89641,180
TM798,North,33,Female,18,Partnered,4,5,95002,200
TM798,West,34,Male,16,Single,5,5,95866,150
TM798,East,35,Male,16,Partnered,4,5,92131,360
TM798,North,38,Male,18,Partnered,5,5,92131,150
TM798,East,40,Male,21,Single,6,5,104581,200
TM798,West,42,Male,18,Single,5,4,83416,200
TM798,East,45,Male,16,Single,5,5,89641,160
TM798,North,47,Male,18,Partnered,4,5,90886,120
TM798,South,48,Male,18,Partnered,4,5,104581,180
