Product,Branch,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM498,East,19,Male,14,Single,3,3,64809,64
TM498,South,20,Male,14,Single,2,3,31836,53
TM498,West,20,Female,14,Partnered,3,3,32973,106
TM498,South,20,Male,14,Single,3,3,34110,95
TM498,East,21,Female,14,Partnered,5,4,38658,212
TM498,North,21,Male,16,Partnered,2,2,34110,42
TM498,East,21,Male,12,Partnered,2,2,34110,53
TM498,West,23,Male,14,Partnered,3,3,32973,95
TM498,North,23,Male,14,Partnered,3,3,36384,85
TM498,West,23,Female,16,Single,3,3,38658,95
TM498,North,23,Male,16,Partnered,4,3,45480,127
TM498,South,23,Female,16,Partnered,3,2,45480,74
TM498,East,23,Female,14,Single,3,2,43206,53
TM498,South,23,Male,16,Partnered,3,3,40932,64
TM498,West,24,Female,14,Single,3,2,45480,85
TM498,East,24,Male,14,Single,3,4,40932,106
TM498,East,24,Female,16,Single,2,3,48891,106
TM498,South,25,Female,14,Partnered,2,3,50028,85
TM498,West,25,Female,14,Single,3,4,45480,127
TM498,West,25,Male,16,Partnered,2,2,43206,42
TM498,East,25,Female,14,Partnered,5,3,52302,106
TM498,East,25,Male,14,Single,3,3,47754,95
TM498,East,25,Female,14,Single,2,3,45480,64
TM498,North,25,Male,14,Partnered,4,3,43206,170
TM498,South,25,Male,14,Partnered,3,4,45480,106
TM498,East,25,Male,16,Partnered,2,3,43206,53
TM498,East,25,Female,14,Single,2,2,50028,42
TM498,South,25,Male,14,Single,4,3,45480,127
TM498,East,26,Female,16,Partnered,4,3,48891,85
TM498,West,26,Female,16,Single,4,4,45480,127
TM498,West,26,Male,16,Single,4,3,50028,106
TM498,West,27,Male,14,Single,4,2,51165,53
TM498,South,26,Female,14,Partnered,3,3,45480,95
TM498,West,30,Female,14,Single,3,3,51165,74
TM498,South,30,Female,13,Single,4,3,57987,106
TM498,North,31,Male,16,Partnered,3,3,46617,95
TM498,East,31,Female,16,Partnered,2,3,52302,64
TM498,West,31,Female,18,Single,2,1,51165,21
TM498,North,32,Male,16,Single,4,3,65220,127
TM498,West,32,Male,16,Partnered,3,3,60261,95
TM498,West,33,Male,13,Partnered,4,4,53439,170
TM498,South,25,Male,15,Single,3,2,53439,95
TM498,South,33,Female,16,Partnered,2,3,50265,85
TM498,North,33,Male,16,Partnered,3,3,50028,95
TM498,South,33,Female,16,Partnered,5,3,51165,95
TM498,East,33,Female,18,Single,2,4,53439,74
TM498,North,34,Female,16,Partnered,4,3,47754,95
TM498,East,34,Male,16,Partnered,3,4,64809,85
TM498,East,34,Male,15,Single,3,3,59124,85
TM498,South,35,Female,14,Partnered,3,2,67083,53
TM498,West,35,Male,16,Partnered,3,2,52302,53
TM498,North,35,Female,16,Single,4,2,53439,64
TM498,South,35,Male,16,Partnered,3,3,50028,95
TM498,West,37,Female,16,Partnered,2,3,53439,85
TM498,East,38,Female,16,Partnered,4,3,48891,85
TM498,North,38,Male,16,Partnered,3,3,62535,106
TM498,North,40,Female,16,Partnered,3,3,59124,85
TM498,South,40,Female,16,Single,3,3,61398,85
TM498,South,40,Male,16,Partnered,3,3,57987,95
TM498,West,45,Male,16,Partnered,2,2,64809,42
TM498,South,48,Male,16,Partnered,2,3,54576,64
